ExioName;ISIC0 Name;ISIC1 Name;ISIC2 Name ;ISIC3 Name;SASB Industry
Re-processing of secondary wood material into new wood material;Manufacturing ;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";;;Building Products & Furnishings
Pulp;Manufacturing ;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";;;Building Products & Furnishings
Re-processing of secondary paper into new pulp;Manufacturing ;Manufacture of paper and paper products;;;Building Products & Furnishings
Paper;Manufacturing ;Manufacture of paper and paper products;;;Pulp & Paper Products
Publishing, printing and reproduction of recorded media (22);Manufacturing ;Publishing;;;Chemicals
Manufacture of coke oven products;Manufacturing ;Manufacture of coke oven products;;;Chemicals
Petroleum Refinery;Manufacturing ;Manufacture of coke oven products;;;Chemicals
Processing of nuclear fuel;Manufacturing ;Manufacture of coke oven products;;;Chemicals
Plastics, basic;Manufacturing ;Manufacture of basic chemicals;;;Chemicals
Re-processing of secondary plastic into new plastic;Manufacturing ;Manufacture of basic chemicals;;;Chemicals
N-fertiliser;Manufacturing ;Manufacture of basic chemicals;;;Chemicals
P- and other fertiliser;Manufacturing ;Manufacture of basic chemicals;;;Chemicals
Chemicals nec;Manufacturing ;Manufacture of basic chemicals;;;Chemicals
Manufacture of rubber and plastic products (25);Manufacturing ;Manufacture of rubber and plastics products;;;Chemicals
Manufacture of glass and glass products;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Re-processing of secondary glass into new glass;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Manufacture of ceramic goods;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Manufacture of bricks, tiles and construction products, in baked clay;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Manufacture of cement, lime and plaster;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Re-processing of ash into clinker;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Manufacture of other non-metallic mineral products n.e.c.;Manufacturing ;Manufacture of glass and glass products;;;Chemicals
Manufacture of basic iron and steel and of ferro-alloys and first products thereof;Manufacturing ;Manufacture of basic metals;;;Chemicals
Re-processing of secondary steel into new steel;Manufacturing ;Manufacture of basic metals;;;Chemicals
Precious metals production;Manufacturing ;Manufacture of basic metals;;;Chemicals
Re-processing of secondary preciuos metals into new preciuos metals;Manufacturing ;Manufacture of basic metals;;;Chemicals
Aluminium production;Manufacturing ;Manufacture of basic metals;;;Chemicals
Re-processing of secondary aluminium into new aluminium;Manufacturing ;Manufacture of basic metals;;;Chemicals
Lead, zinc and tin production;Manufacturing ;Manufacture of basic metals;;;Chemicals
Re-processing of secondary lead into new lead, zinc and tin;Manufacturing ;Manufacture of basic metals;;;Chemicals
Copper production;Manufacturing ;Manufacture of basic metals;;;Chemicals
Re-processing of secondary copper into new copper;Manufacturing ;Manufacture of basic metals;;;Chemicals
Other non-ferrous metal production;Manufacturing ;Manufacture of basic metals;;;Chemicals
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals;Manufacturing ;Manufacture of basic metals;;;Chemicals
Casting of metals;Manufacturing ;Manufacture of basic metals;;;Chemicals
Manufacture of fabricated metal products, except machinery and equipment (28);Manufacturing ;Manufacture of fabricated metal products, except machinery and equipment;;;Chemicals
Manufacture of machinery and equipment n.e.c. (29);Manufacturing ;Manufacture of machinery and equipment n.e.c.;;;Industrial Machinery & Goods
Manufacture of office machinery and computers (30);Manufacturing ;Manufacture of office, accounting and computing machinery;;;Industrial Machinery & Goods
Manufacture of electrical machinery and apparatus n.e.c. (31);Manufacturing ;Manufacture of electrical machinery and apparatus n.e.c.;;;Industrial Machinery & Goods
Manufacture of radio, television and communication equipment and apparatus (32);Manufacturing ;Manufacture of radio, television and communication equipment and apparatus;;;Industrial Machinery & Goods
Manufacture of medical, precision and optical instruments, watches and clocks (33);Manufacturing ;Manufacture of medical, precision and optical instruments, watches and clocks;;;Industrial Machinery & Goods
Manufacture of motor vehicles, trailers and semi-trailers (34);Manufacturing ;Manufacture of motor vehicles, trailers and semi-trailers;;;Industrial Machinery & Goods
Manufacture of other transport equipment (35);Manufacturing ;Manufacture of other transport equipment;;;Industrial Machinery & Goods
"Manufacture of furniture; manufacturing n.e.c. (36)";Manufacturing ;"Manufacture of furniture; manufacturing n.e.c.";;;Industrial Machinery & Goods
Recycling of waste and scrap;Manufacturing ;Recycling;;;Industrial Machinery & Goods
Recycling of bottles by direct reuse;Manufacturing ;Recycling;;;Industrial Machinery & Goods
Production of electricity by coal;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by gas;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by nuclear;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by hydro;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by wind;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by petroleum and other oil derivatives;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by biomass and waste;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by solar photovoltaic;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by solar thermal;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by tide, wave, ocean;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity by Geothermal;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Production of electricity nec;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Transmission of electricity;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
Distribution and trade of electricity;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Electric Utilities & Power Generators
"Manufacture of gas; distribution of gaseous fuels through mains";Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Oil & Gas Ð Exploration & Production
Steam and hot water supply;Electricity, gas and water supply;Electricity, gas, steam and hot water supply;;;Water Utilities & Services
Collection, purification and distribution of water (41);Electricity, gas and water supply;Collection, purification and distribution of water;;;Water Utilities & Services
Incineration of waste: Food;Manufacturing ;Recycling;;;Waste Management
Incineration of waste: Paper;Manufacturing ;Recycling;;;Waste Management
Incineration of waste: Plastic;Manufacturing ;Recycling;;;Waste Management
Incineration of waste: Metals and Inert materials;Manufacturing ;Recycling;;;Waste Management
Incineration of waste: Textiles;Manufacturing ;Recycling;;;Waste Management
Incineration of waste: Wood;Manufacturing ;Recycling;;;Waste Management
Incineration of waste: Oil/Hazardous waste;Manufacturing ;Recycling;;;Waste Management
Biogasification of food waste, incl. land application;"Water supply; sewerage, waste management and remediation activities ";;;;Waste Management
Biogasification of paper, incl. land application;"Water supply; sewerage, waste management and remediation activities ";;;;Waste Management
Biogasification of sewage slugde, incl. land application;"Water supply; sewerage, waste management and remediation activities ";;;;Waste Management
Composting of food waste, incl. land application;Manufacturing ;Manufacture of chemicals and chemical products;;;Waste Management
Composting of paper and wood, incl. land application;Manufacturing ;Manufacture of chemicals and chemical products;;;Waste Management
Waste water treatment, food;"Water supply; sewerage, waste management and remediation activities ";Collection, purification and distribution of water;;;Waste Management
Waste water treatment, other;"Water supply; sewerage, waste management and remediation activities ";Collection, purification and distribution of water;;;Waste Management
Landfill of waste: Food;Other community, social and personal service activities;Sewage and refuse disposal, sanitation and similar activities;;;Waste Management
Landfill of waste: Paper;Other community, social and personal service activities;Sewage and refuse disposal, sanitation and similar activities;;;Waste Management
Landfill of waste: Plastic;Other community, social and personal service activities;Sewage and refuse disposal, sanitation and similar activities;;;Waste Management
Landfill of waste: Inert/metal/hazardous;Other community, social and personal service activities;Sewage and refuse disposal, sanitation and similar activities;;;Waste Management
Landfill of waste: Textiles;Other community, social and personal service activities;Sewage and refuse disposal, sanitation and similar activities;;;Waste Management
Landfill of waste: Wood;Other community, social and personal service activities;Sewage and refuse disposal, sanitation and similar activities;;;Waste Management
Construction (45);Construction ;Construction ;;;Engineering & Construction Services
Re-processing of secondary construction material into aggregates;Construction ;Construction ;;;Engineering & Construction Services
Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries;Wholesale retail trade, repair of motor vehicles, motorcycles ;;;;Automobiles
Retail sale of automotive fuel;Wholesale retail trade, repair of motor vehicles, motorcycles ;Retail sale of automotive fuel;;;Automobiles
Wholesale trade and commission trade, except of motor vehicles and motorcycles (51);Wholesale retail trade, repair of motor vehicles, motorcycles ;Wholesale trade and commission trade, except of motor vehicles and motorcycles;;;Multiline and Specialty Retailers & Distributors
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)";Wholesale retail trade, repair of motor vehicles, motorcycles ;"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods";;;Multiline and Specialty Retailers & Distributors
Transport via railways;Transport, storage and communications;"Land transport; transport via pipelines";;;Rail Transportation
Other land transport;Transport, storage and communications;"Land transport; transport via pipelines";;;Rail Transportation
Transport via pipelines;Transport, storage and communications;"Land transport; transport via pipelines";;;Marine Transportation
Sea and coastal water transport;Transport, storage and communications;Water transport;;;Marine Transportation
Inland water transport;Transport, storage and communications;Water transport;;;Marine Transportation
Air transport (62);Transport, storage and communications;Air transport;;;Rail Transportation
"Supporting and auxiliary transport activities; activities of travel agencies (63)";Transport, storage and communications;"Supporting and auxiliary transport activities; activities of travel agencies";;;Rail Transportation
Hotels and restaurants (55);Hotels and restaurants;Hotels and restaurants;;;Restaurants
Post and telecommunications (64);Informations and communications ;Post and telecommunications;;;Telecommunication Services
Computer and related activities (72);Real estate, renting and business activities;Computer and related activities;;;Software & IT Services
Renting of machinery and equipment without operator and of personal and household goods (71);Real estate, renting and business activities;Renting of machinery and equipment without operator and of personal and household goods;;;Industrial Machinery & Goods
Financial intermediation, except insurance and pension funding (65);Financial intermediation;Financial intermediation, except insurance and pension funding;;;Consumer Finance
Insurance and pension funding, except compulsory social security (66);Financial intermediation;Insurance and pension funding, except compulsory social security;;;Consumer Finance
Activities auxiliary to financial intermediation (67);Financial intermediation;Activities auxiliary to financial intermediation;;;Consumer Finance
Real estate activities (70);Real estate, renting and business activities;Activities auxiliary to financial intermediation;;;Real Estate Services
Research and development (73);Real estate, renting and business activities;Research and development;;;Other
Other business activities (74);Real estate, renting and business activities;Other business activities;;;Other
Activities of membership organisation n.e.c. (91);Other community, social and personal service activities;Activities of membership organisation n.e.c.;;;Other
"Public administration and defence; compulsory social security (75)";"Public administration and defence; compulsory social security";"Public administration and defence; compulsory social security";;;Aerospace & Defense
Education (80);Education ;Education ;;;Education
Health and social work (85);Health and social work;Health and social work;;;Other
Recreational, cultural and sporting activities (92);Other community, social and personal service activities;Recreational, cultural and sporting activities;;;Other
Other service activities (93);Other community, social and personal service activities;Other service activities;;;Other
Private households with employed persons (95);Activities of private households as employers and undifferentiated production activities of private households;Activities of private households as employers of domestic staff;;;Household & Personal Products
Extra-territorial organizations and bodies;Activities of extraterritorial organizations and bodies ;Activities of extraterritorial organizations and bodies ;;;

